ea_id,futbin_id,card_name,short_name,long_name,player_positions,overall,club_name,league_name,league_level,nationality,pace,shooting,passing,dribbling,defending,physic
198706,780,Luis Alberto,Luis Alberto,Luis Alberto Romero Alconchel,"CAM, CM, CF",84,Lazio,Italian Serie A,1,Spain,60,76,86,85,57,59
199434,820,Tadić,D. Tadić,Dušan Tadić,"LW, CF, CAM",84,Ajax,Holland Eredivisie,1,Serbia,69,81,85,85,43,76
199451,787,Ben Yedder,W. Ben Yedder,Wissam Ben Yedder,ST,84,AS Monaco,French Ligue 1,1,France,82,84,77,88,39,70
200458,3101,Digne,L. Digne,Lucas Digne,LB,84,Everton,English Premier League,1,France,79,69,80,80,80,76
200647,781,Iličić,J. Iličić,Josip Iličić,"CF, ST",84,Atalanta,Italian Serie A,1,Slovenia,75,86,84,86,40,67
202811,1465,Martínez,E. Martínez,Damián Emiliano Martínez,GK,84,Aston Villa,English Premier League,1,Argentina,,,,,,
203263,3471,Maguire,H. Maguire,Harry Maguire,CB,84,Manchester United,English Premier League,1,England,50,55,69,70,85,87
204639,553,Savić,S. Savić,Stefan Savić,CB,84,Atlético de Madrid,Spain Primera Division,1,Montenegro,64,35,57,56,87,76
204923,704,Sabitzer,M. Sabitzer,Marcel Sabitzer,"CM, CDM, CAM",84,FC Bayern München,German 1. Bundesliga,1,Austria,78,84,81,80,67,78
205988,736,Shaw,L. Shaw,Luke Shaw,LB,84,Manchester United,English Premier League,1,England,79,54,79,80,81,80
206517,440,Grealish,J. Grealish,Jack Grealish,"LW, LM, CAM",84,Manchester City,English Premier League,1,England,80,76,83,88,46,64
207862,697,Ginter,M. Ginter,Matthias Ginter,CB,84,Borussia Mönchengladbach,German 1. Bundesliga,1,Germany,62,58,72,65,86,79
207863,554,Felipe,Felipe,Felipe Augusto de Almeida Monteiro,CB,84,Atlético de Madrid,Spain Primera Division,1,Brazil,61,41,58,61,85,84
208418,410,Carrasco,Y. Carrasco,Yannick Ferreira Carrasco,"LM, ST",84,Atlético de Madrid,Spain Primera Division,1,Belgium,88,81,78,86,45,67
208574,705,Kostić,F. Kostić,Filip Kostić,"LM, LWB",84,Eintracht Frankfurt,German 1. Bundesliga,1,Serbia,88,77,82,83,68,80
208670,393,Ziyech,H. Ziyech,Hakim Ziyech,"RW, CAM",84,Chelsea,English Premier League,1,Morocco,78,76,87,84,50,65
209889,417,Guerreiro,R. Guerreiro,Raphaël Adelino José Guerreiro,"LB, LM",84,Borussia Dortmund,German 1. Bundesliga,1,Portugal,75,77,85,88,76,58
210243,4295,Ricardo Pereira,Ricardo Pereira,Ricardo Domingos Barbosa Pereira,"RB, RM",84,Leicester City,English Premier League,1,Portugal,83,67,78,82,80,75
212188,389,Werner,T. Werner,Timo Werner,"ST, LW",84,Chelsea,English Premier League,1,Germany,91,81,70,83,35,70
215698,528,Maignan,M. Maignan,Mike Maignan,GK,84,AC Milan,Italian Serie A,1,France,,,,,,
216352,479,Brozović,M. Brozović,Marcelo Brozović,"CDM, CM",84,Inter,Italian Serie A,1,Croatia,69,74,80,79,79,78
216393,5261,Tielemans,Y. Tielemans,Youri Tielemans,"CM, CDM",84,Leicester City,English Premier League,1,Belgium,63,79,86,80,71,72
216460,409,Giménez,J. Giménez,José María Giménez de Vargas,CB,84,Atlético de Madrid,Spain Primera Division,1,Uruguay,69,45,57,58,86,80
216594,5294,Fekir,N. Fekir,Nabil Fekir,"CAM, RM, ST",84,Real Betis Balompié,Spain Primera Division,1,France,83,83,82,87,38,79
222492,709,Sané,L. Sané,Leroy Aziz Sané,"RM, LM",84,FC Bayern München,German 1. Bundesliga,1,Germany,90,81,79,85,38,68
224232,325,Barella,N. Barella,Nicolò Barella,CM,84,Inter,Italian Serie A,1,Italy,78,71,79,86,75,78
224334,6300,Acuña,M. Acuña,Marcos Javier Acuña,"LB, LM",84,Sevilla FC,Spain Primera Division,1,Argentina,76,74,82,87,79,82
228941,1383,André Silva,André Silva,André Miguel Valente da Silva,ST,84,RB Leipzig,German 1. Bundesliga,1,Portugal,74,84,69,83,45,77
230938,531,Kessié,F. Kessié,Franck Yannick Kessié,"CDM, CM",84,AC Milan,Italian Serie A,1,Côte d'Ivoire,78,74,74,79,82,87
232656,328,Hernández,T. Hernández,Theo Bernard François Hernández,LB,84,AC Milan,Italian Serie A,1,France,93,71,76,81,77,82
235790,391,Havertz,K. Havertz,Kai Lukas Havertz,"CAM, CF, CM",84,Chelsea,English Premier League,1,Germany,82,78,79,84,45,66
237692,441,Foden,P. Foden,Philip Foden,"CAM, LW, CM",84,Manchester City,English Premier League,1,England,84,78,80,87,56,57
135507,515,Fernandinho,Fernandinho,Fernando Luiz Rosa,"CDM, CB",83,Manchester City,English Premier League,1,Brazil,59,72,75,77,84,75
169416,1055,Vela,C. Vela,Carlos Alberto Vela Garrido,"RW, LW, CAM",83,Los Angeles FC,USA Major League Soccer,1,Mexico,80,82,78,84,31,67
177413,418,Witsel,A. Witsel,Axel Witsel,"CDM, CM",83,Borussia Dortmund,German 1. Bundesliga,1,Belgium,61,72,81,78,82,79
178750,1611,Sergio Asenjo,Sergio Asenjo,Sergio Asenjo Andrés,GK,83,Villarreal CF,Spain Primera Division,1,Spain,,,,,,
179645,525,Kjær,S. Kjær,Simon Thorup Kjær,CB,83,AC Milan,Italian Serie A,1,Denmark,67,55,64,58,85,78
180930,480,Džeko,E. Džeko,Edin Džeko,ST,83,Inter,Italian Serie A,1,Bosnia and Herzegovina,66,83,72,78,45,76
184432,395,Azpilicueta,Azpilicueta,César Azpilicueta Tanco,"CB, RWB",83,Chelsea,English Premier League,1,Spain,66,55,76,72,84,76
187961,17531,Paulinho,Paulinho,José Paulo Bezzera Maciel Júnior,"CM, CAM, CDM",83,Al Ahli,Saudi Abdul L. Jameel League,1,Brazil,72,81,77,81,80,85
189575,2182,Muniain,Muniain,Iker Muniain Goñi,"CAM, RM, LM",83,Athletic Club de Bilbao,Spain Primera Division,1,Spain,81,76,82,87,51,61
190286,2243,Canales,Canales,Sergio Canales Madrazo,"CM, CDM, LM",83,Real Betis Balompié,Spain Primera Division,1,Spain,83,80,85,82,67,71
190941,703,Hrádecký,L. Hrádecký,Lukáš Hrádecký,GK,83,Bayer 04 Leverkusen,German 1. Bundesliga,1,Finland,,,,,,
191043,2328,Alex Sandro,Alex Sandro,Alex Sandro Lobo Silva,"LB, LM",83,Juventus,Italian Serie A,1,Brazil,81,65,77,79,78,79
192563,2441,Leno,B. Leno,Bernd Leno,GK,83,Arsenal,English Premier League,1,Germany,,,,,,
192774,2470,Manolas,K. Manolas,Konstantinos Manolas,CB,83,Napoli,Italian Serie A,1,Greece,81,25,44,61,85,81
192883,2476,Mkhitaryan,H. Mkhitaryan,Henrikh Mkhitaryan,"CF, RM, RW",83,Roma,Italian Serie A,1,Armenia,85,80,79,84,56,74
193082,2496,Cuadrado,J. Cuadrado,Juan Guillermo Cuadrado Bello,"RB, RM",83,Juventus,Italian Serie A,1,Colombia,90,75,77,88,76,72
197061,804,Matip,J. Matip,Joël Andre Job Matip,CB,83,Liverpool,English Premier League,1,Cameroon,58,46,68,68,85,78
197655,2751,Coates,S. Coates,Sebastián Coates Nión,CB,83,Sporting CP,Portuguese Liga ZON SAGRES,1,Uruguay,68,49,55,63,84,87
199845,3034,Acerbi,F. Acerbi,Francesco Acerbi,CB,83,Lazio,Italian Serie A,1,Italy,63,50,62,63,86,83
199914,3043,Allan,Allan,Allan Marques Loureiro,"CDM, CM",83,Everton,English Premier League,1,Brazil,72,71,77,81,80,79
200610,867,Volland,K. Volland,Kevin Volland,"ST, CF",83,AS Monaco,French Ligue 1,1,Germany,73,85,79,80,42,86
201153,3202,Morata,Morata,Álvaro Borja Morata Martín,ST,83,Juventus,Italian Serie A,1,Spain,82,80,72,81,31,77
201399,596,Icardi,M. Icardi,Mauro Emanuel Icardi Rivero,ST,83,Paris Saint-Germain,French Ligue 1,1,Argentina,69,83,65,77,36,69
202884,3424,Spinazzola,L. Spinazzola,Leonardo Spinazzola,"LWB, LB, LM",83,Roma,Italian Serie A,1,Italy,92,64,73,81,78,71
203574,353,Stones,J. Stones,John Stones,CB,83,Manchester City,English Premier League,1,England,70,51,71,74,84,78
203841,3543,Pope,N. Pope,Nick Pope,GK,83,Burnley,English Premier League,1,England,,,,,,
204838,3691,Jiménez,R. Jiménez,Raúl Alonso Jiménez Rodríguez,ST,83,Wolverhampton Wanderers,English Premier League,1,Mexico,72,82,76,81,47,82
204935,3705,Pickford,J. Pickford,Jordan Pickford,GK,83,Everton,English Premier League,1,England,,,,,,
205452,386,Rüdiger,A. Rüdiger,Antonio Rüdiger,CB,83,Chelsea,English Premier League,1,Germany,75,43,68,63,84,84
205632,3806,Ocampos,L. Ocampos,Lucas Ariel Ocampos,"LW, RW",83,Sevilla FC,Spain Primera Division,1,Argentina,81,84,78,83,63,84
207410,390,Kovačić,M. Kovačić,Mateo Kovačić,"CM, CDM",83,Chelsea,English Premier League,1,Croatia,70,69,83,88,69,70
209989,4264,Partey,T. Partey,Thomas Teye Partey,"CM, CDM",83,Arsenal,English Premier League,1,Ghana,69,71,82,81,80,84
211688,4524,Gayà,Gayà,José Luís Gayà Peña,"LB, LWB, LM",83,Valencia CF,Spain Primera Division,1,Spain,83,61,77,80,79,73
213565,450,Lemar,T. Lemar,Thomas Lemar,"LM, CM, RM",83,Atlético de Madrid,Spain Primera Division,1,France,82,76,82,87,59,63
213648,754,Højbjerg,P. Højbjerg,Pierre-Emile Kordt Højbjerg,"CDM, CM",83,Tottenham Hotspur,English Premier League,1,Denmark,60,71,76,76,81,82
214997,411,Correa,A. Correa,Ángel Martín Correa,"ST, RM",83,Atlético de Madrid,Spain Primera Division,1,Argentina,85,83,78,88,49,74
215333,5105,Zapata,D. Zapata,Duván Esteban Zapata Banguera,ST,83,Atalanta,Italian Serie A,1,Colombia,80,81,61,78,35,84
216354,706,Kramarić,A. Kramarić,Andrej Kramarić,"ST, CAM",83,TSG Hoffenheim,German 1. Bundesliga,1,Croatia,71,86,76,86,30,71
220651,707,Angeliño,Angeliño,José Ángel Esmoris Tasende,"LWB, LM",83,RB Leipzig,German 1. Bundesliga,1,Spain,78,71,82,84,76,70
220814,708,Hernández,L. Hernández,Lucas François Bernard Hernández Pi,"LB, CB",83,FC Bayern München,German 1. Bundesliga,1,France,77,54,68,70,84,79
220834,360,Marco Asensio,Marco Asensio,Marco Asensio Willemsen,"RW, LW",83,Real Madrid CF,Spain Primera Division,1,Spain,82,80,81,83,43,62
223689,710,Weghorst,W. Weghorst,Wout Weghorst,ST,83,VfL Wolfsburg,German 1. Bundesliga,1,Netherlands,63,83,59,69,52,86
223697,6166,Gosens,R. Gosens,Robin Everardus Gosens,"LWB, LB, LM",83,Atalanta,Italian Serie A,1,Germany,82,75,74,79,77,81
225193,6475,Merino,Merino,Mikel Merino Zazón,CM,83,Real Sociedad,Spain Primera Division,1,Spain,74,78,81,82,82,81
225850,604,Kimpembe,P. Kimpembe,Presnel Kimpembe,CB,83,Paris Saint-Germain,French Ligue 1,1,France,81,42,68,69,83,86
228618,431,Mendy,F. Mendy,Ferland Mendy,LB,83,Real Madrid CF,Spain Primera Division,1,France,92,64,76,80,78,84
229880,7281,Wan-Bissaka,A. Wan-Bissaka,Aaron Wan-Bissaka,RB,83,Manchester United,English Premier League,1,England,85,52,69,79,81,75
230658,7350,Arthur,Arthur,Arthur Henrique Ramos de Oliveira Melo,CM,83,Juventus,Italian Serie A,1,Brazil,69,67,83,88,72,70
230666,516,Gabriel Jesus,Gabriel Jesus,Gabriel Fernando de Jesus,ST,83,Manchester City,English Premier League,1,Brazil,84,81,72,87,39,73
231443,7504,Dembélé,O. Dembélé,Ousmane Dembélé,RW,83,FC Barcelona,Spain Primera Division,1,France,93,77,77,87,36,56
233064,394,Mount,M. Mount,Mason Mount,"CAM, CM, RW",83,Chelsea,English Premier League,1,England,74,79,84,83,55,65
234642,1389,Mendy,E. Mendy,Édouard Mendy,GK,83,Chelsea,English Premier League,1,Senegal,,,,,,
235805,1553,Chiesa,F. Chiesa,Federico Chiesa,"RW, LW, RM",83,Juventus,Italian Serie A,1,Italy,91,81,74,86,48,73
239053,433,Valverde,F. Valverde,Federico Santiago Valverde Dipetta,CM,83,Real Madrid CF,Spain Primera Division,1,Uruguay,86,74,78,79,77,80
